ポケモン ブラック・ホワイト,"software,pokemon,nds",2010-09-18
ポケモン ブラック2・ホワイト2,"software,pokemon,nds",2012-06-23
ポケモン X・Y,"software,pokemon,3ds",2013-10-12
ポケモン サン・ムーン,"software,pokemon,3ds",2016-11-18
ポケモン ソード・シールド,"software,pokemon,switch",2019-11-15
ポケモン アルセウス,"software,pokemon,switch",2022-01-28
ポケモン スカーレット・バイオレット,"software,pokemon,switch",2022-11-18
ポケダン 青の救助隊,"software,pokemon,nds",2005-11-17
ポケダン 赤の救助隊,"software,pokemon,gba",2005-11-17
ポケダン 時・闇,"software,pokemon,nds",2007-09-13
ポケダン 空,"software,pokemon,nds",2009-04-18
ポケダン マグナゲート,"software,pokemon,3ds",2012-11-23
ポケダン 超,"software,pokemon,3ds",2015-09-17
ポケダン DX,"software,pokemon,switch",2020-03-06

ドラゴンクエスト,"software,enix,fc",1986-05-27
ドラゴンクエストII,"software,enix,fc",1987-01-26
ドラゴンクエストIII,"software,enix,fc",1988-02-10
ドラゴンクエストIV,"software,enix,fc",1990-02-11
ドラゴンクエストV,"software,enix,sfc",1992-09-27
ドラゴンクエストVI,"software,enix,sfc",1995-12-09
ドラゴンクエストVII,"software,enix,ps1",2000-08-26
ドラゴンクエストVIII,"software,square-enix,ps2",2004-11-27
ドラゴンクエストIX,"software,square-enix,nds",2009-07-11
ドラゴンクエストX,"software,square-enix,wii",2012-08-02
ドラゴンクエストXI,"software,square-enix,ps4,3ds",2017-07-29

ファイナルファンタジー,"software,square,fc",1987-12-18
ファイナルファンタジーII,"software,square,fc",1988-12-17
ファイナルファンタジーIII,"software,square,fc",1990-04-27
ファイナルファンタジーIV,"software,square,sfc",1991-07-19
ファイナルファンタジーV,"software,square,sfc",1992-12-06
ファイナルファンタジーVI,"software,square,sfc",1994-04-02
ファイナルファンタジーVII,"software,square,ps1",1997-01-31
ファイナルファンタジーVIII,"software,square,ps1",1999-02-11
ファイナルファンタジーIX,"software,square,ps1",2000-07-07
ファイナルファンタジーX,"software,square,ps2",2001-07-19
ファイナルファンタジーX-2,"software,square,ps2",2003-03-13
ファイナルファンタジーXI,"software,square-enix,ps2",2002-05-16
ファイナルファンタジーXII,"software,square-enix,ps2",2006-03-16
ファイナルファンタジーXIII,"software,square-enix,ps3",2009-12-17
ファイナルファンタジーXIII-2,"software,square-enix,ps3",2011-12-15
ライトニングリターンズ FFXIII,"software,square-enix,ps3",2013-11-21
ファイナルファンタジーXIV,"software,square-enix,pc",2010-09-30
新生ファイナルファンタジーXIV,"software,square-enix,pc",2013-08-27
ファイナルファンタジーXV,"software,square-enix,ps4",2016-11-29
ファイナルファンタジーXVI,"software,square-enix,ps5",2023-06-22

バーチャファイター,"software,sega,arcade",1993-12-01
バーチャファイター2,"software,sega,arcade",1994-11-20
バーチャファイター3,"software,sega,arcade",1996-09-01
バーチャファイター4,"software,sega,arcade",2001-08-02
バーチャファイター5,"software,sega,arcade",2006-07-12

餓狼伝説,"software,snk,arcade",1991-11-25
餓狼伝説2,"software,snk,arcade",1992-12-10
餓狼伝説スペシャル,"software,snk,arcade",1993-09-16
餓狼伝説3,"software,snk,arcade",1995-03-27
リアルバウト餓狼伝説,"software,snk,arcade",1995-12-21
リアルバウト餓狼伝説スペシャル,"software,snk,arcade",1997-01-28
リアルバウト餓狼伝説2,"software,snk,arcade",1998-03-20
餓狼伝説 WILD AMBITION,"software,snk,arcade",1999-01-28
餓狼 MARK OF THE WOLVES,"software,snk,arcade",1999-11-26
餓狼伝説 City of the Wolves,"software,snk",2025-04-24
龍虎の拳,"software,snk,arcade",1992-09-24
龍虎の拳2,"software,snk,arcade",1994-02-03
龍虎の拳 外伝,"software,snk,arcade",1996-03-12
サムライスピリッツ,"software,snk,arcade",1993-07-07
真サムライスピリッツ,"software,snk,arcade",1994-10-28
サムライスピリッツ斬紅郎無双剣,"software,snk,arcade",1995-11-27
サムライスピリッツ天草降臨,"software,snk,arcade",1996-10-25
侍魂,"software,snk,arcade",1997-12-19
アスラ斬魔伝,"software,snk,arcade",1998-10-16
サムライスピリッツ零,"software,snk,arcade",2003-10-10
サムライスピリッツ零SPECIAL,"software,snk,arcade",2004-04-22
サムライスピリッツ天下一剣客伝,"software,snk,arcade",2005-09-14
サムライスピリッツ閃,"software,snk,arcade",2008-04-14
SAMURAI SPIRITS,"software,snk",2019-06-27
真説サムライスピリッツ,"software,snk",1997-06-27
KOF'94,"software,snk,arcade",1994-08-25
KOF'95,"software,snk,arcade",1995-07-25
KOF'96,"software,snk,arcade",1996-07-30
KOF'97,"software,snk,arcade",1997-07-28
KOF'98,"software,snk,arcade",1998-07-23
KOF'99,"software,snk,arcade",1999-07-22
KOF 2000,"software,snk,arcade",2000-07-26
KOF 2001,"software,snk,arcade",2001-11-15
KOF 2002,"software,snk,arcade",2002-10-10
KOF 2003,"software,snk,arcade",2003-12-12
KOF XI,"software,snk,arcade",2005-10-26
KOF XII,"software,snk,arcade",2009-04-10
KOF XIII,"software,snk,arcade",2010-07-14
KOF XIV,"software,snk,multi",2016-08-25
KOF XV,"software,snk,multi",2022-02-27
KOF MAXIMUM IMPACT,"software,snk,arcade",2007-07-13
幕末浪漫 月華の剣士,"software,snk,arcade",1997-12-05
幕末浪漫第二幕 月華の剣士,"software,snk,arcade",1998-11-25
メタルスラッグ,"software,snk,arcade",1996-05-24
SVC CHAOS,"software,snk,arcade",2003-07-24

ストリートファイターII,"software,capcom,arcade",1991-02-14
ストリートファイターII',"software,capcom,arcade",1992-03-22
ストリートファイターII' TURBO,"software,capcom,arcade",1992-12-09
スーパーストリートファイターII,"software,capcom,arcade",1993-09-10
スーパーストリートファイターIIX,"software,capcom,arcade",1994-02-23
ストリートファイターZERO,"software,capcom,arcade",1995-06-27
ストリートファイターZERO 2,"software,capcom,arcade",1996-03-25
ストリートファイターEX,"software,capcom,arcade",1996-11-30
ストリートファイターIII,"software,capcom,arcade",1997-02-04
ストリートファイターIII 2nd,"software,capcom,arcade",1997-10-16
ストリートファイターZERO3,"software,capcom,arcade",1998-07-01
ストリートファイターIII 3rd,"software,capcom,arcade",1999-05-12
ストリートファイターEX2,"software,capcom,arcade",1998-03-12
ストリートファイターIV,"software,capcom,arcade",2008-07-18
ストリートファイターV,"software,capcom,multi",2016-02-18
ストリートファイター6,"software,capcom,multi",2023-06-02
ヴァンパイア,"software,capcom,arcade",1994-06-30
ヴァンパイアハンター,"software,capcom,arcade",1995-03-20
ヴァンパイアセイヴァー,"software,capcom,arcade",1997-05-19
ヴァンパイアハンター2,"software,capcom,arcade",1997-09-13
ヴァンパイアセイヴァー2,"software,capcom,arcade",1997-09-13
私立ジャスティス学園,"software,capcom,arcade",1997-11-17
ジョジョの奇妙な冒険,"software,capcom,arcade",1998-12-18
MARVEL SUPER HEROES,"software,capcom,arcade",1995-10-24
X-MEN VS. SF,"software,capcom,arcade",1996-10-04
MARVEL VS. SF,"software,capcom,arcade",1997-07-07
MARVEL vs. CAPCOM,"software,capcom,arcade",1998-01-12
MARVEL vs. CAPCOM 2,"software,capcom,arcade",2000-03-10
CAPCOM vs. SNK,"software,capcom,arcade",2000-08-18
CAPCOM vs. SNK 2,"software,capcom,arcade",2001-08-03

ワールドヒーローズ,"software,adk,arcade",1992-07-28
ワールドヒーローズ2,"software,adk,arcade",1993-04-28
ワールドヒーローズ2 JET,"software,adk,arcade",1994-04-26
ワールドヒーローズパーフェクト,"software,adk,arcade",1995-05-25
痛快GANGAN行進曲,"software,adk,arcade",1994-07-26
鉄拳,"software,namco,arcade",1994-12-01
サイキックフォース,"software,taito,arcade",1995-10-01
DEAD OR ALIVE,"software,tecmo,arcade",1996-11-26
GUILTY GEAR X,"software,arc,arcade",2000-07-19
GUILTY GEAR XX,"software,arc,arcade",2002-05-23
ブレイブルー,"software,arc,arcade",2008-11-20

東京ディズニーランド,"news,japan",1983-04-15
平成元年,"news,japan",1989-01-08
消費税3%,"news,japan",1989-04-01
阪神・淡路大震災,"news,japan",1995-01-17
地下鉄サリン事件,"news,japan",1995-03-20
携帯1000万台突破,"news,japan",1996-04-06
消費税5%,"news,japan",1997-04-01
郵便番号7桁,"news,japan",1998-02-02
2000円札,"news,japan",2000-07-19
BSデジタル放送,"news,japan",2000-12-01
USJ,"news,japan",2001-03-31
東京ディズニーシー,"news,japan",2001-09-04
住基ネット,"news,japan",2002-08-05
地上デジタル放送,"news,japan",2003-12-01
東日本大震災,"news,japan",2011-03-11
東京スカイツリー,"news,japan",2012-05-22
消費税8%,"news,japan",2014-04-01
デング熱,"news,japan",2014-08-27
ドローン規制,"news,japan",2015-12-10
マイナンバー,"news,japan",2016-01-01
熊本地震,"news,japan",2016-04-14
令和元年,"news,japan",2019-05-01
消費税10%,"news,japan",2019-10-01
新型コロナ（国内）,"news,japan",2020-01-15

EU,"news,world",1993-11-01
米同時多発テロ,"news,world",2001-09-11
ユーロ,"news,world",2002-01-01
イラク戦争,"news,world",2003-03-20

セガ ハード撤退,"news,sega",2001-03-31
SNK 破産,"news,snk",2001-10-30
SNKプレイモア,"news,snk",2003-07-01
SNK（商号変更）,"news,snk",2016-12-01

Yahoo! JAPAN,"service,japan",1996-04-01
楽天市場,"service,japan",1997-05-01
iモード,"service,japan",1999-02-01
Suica,"service,japan",2001-11-18

Google検索,"service,world,google",2000-08-03
Amazon Japan,"service,world,amazon",2000-11-01
YouTube,"service,world,google",2007-06-19
ChatGPT,"service,world",2022-11-30

ポケモンGO,"service,nintendo",2016-07-22

たまごっち,"digital,japan,bandai",1996-11-23

Windows 95,"digital,world,microsoft",1995-11-23
Windows 98,"digital,world,microsoft",1998-07-25
Windows XP,"digital,world,microsoft",2001-10-25
Windows Vista,"digital,world,microsoft",2007-01-30
Windows 7,"digital,world,microsoft",2009-10-22
Windows 8,"digital,world,microsoft",2012-10-26
Windows 10,"digital,world,microsoft",2015-07-29
Windows 11,"digital,world,microsoft",2021-10-05
iPod,"digital,world,apple",2001-10-23
iPhone 3G,"digital,world,apple",2008-07-11
iPad,"digital,world,apple",2010-05-28
Appleシリコン M1,"digital,world,apple",2020-11-11

AKB48,"music,japan",2005-12-08

映画 AKIRA,"film,japan",1988-07-16
映画 君の名は。,"film,japan",2016-08-26
映画 風の谷のナウシカ,"film,japan,ghibli",1984-03-11
映画 天空の城ラピュタ,"film,japan,ghibli",1986-08-02
映画 となりのトトロ,"film,japan,ghibli",1988-04-16
映画 魔女の宅急便,"film,japan,ghibli",1989-07-29
映画 もののけ姫,"film,japan,ghibli",1997-07-12
映画 千と千尋の神隠し,"film,japan,ghibli",2001-07-20
映画 ハウルの動く城,"film,japan,ghibli",2004-11-20
映画 崖の上のポニョ,"film,japan,ghibli",2008-07-19
映画 風立ちぬ,"film,japan,ghibli",2013-07-20
映画 君たちはどう生きるか,"film,ghibli",2023-07-14

映画 ゴーストバスターズ,"film,world",1984-12-02
映画 バック・トゥ・ザ・フューチャー,"film,world",1985-12-07
映画 タイタニック,"film,world",1997-12-20
映画 マトリックス,"film,world",1999-09-11

アニメ ポケモン,"anime,nintendo",1997-04-01
